tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,streaming_tv,num_complaints,satisfaction_score,churned
37,20.15246312505572,1982.045565334827,1,3,0,0,0,5,1,1
25,108.49238920916791,9170.298229095348,0,0,2,0,0,8,3,0
25,108.04558287085857,127.2698761177974,2,2,2,0,1,6,3,0
57,48.253112744416285,3368.2436484763107,1,0,1,1,1,8,1,0
13,169.88233441734218,757.0280195974669,0,0,2,0,1,2,1,1
12,54.52500739397783,7237.552901541434,0,2,0,1,0,4,3,1
63,158.63412149644,5052.226627656759,1,0,1,0,0,5,4,0
62,54.248694818417704,1831.936658454054,0,3,2,1,0,5,2,0
28,70.62740159580503,942.795146032462,0,2,0,1,0,4,1,0
55,68.5796170098834,2338.2337654025805,0,0,0,1,1,1,1,0
42,61.32595318512428,9215.439325263866,1,2,1,0,1,9,1,0
61,191.46331820149987,6808.781911310476,2,1,2,1,1,2,3,0
38,67.42304546070606,2498.182758341764,0,3,2,1,1,5,2,0
5,107.29364412824489,8948.071723232533,1,0,1,0,0,8,4,0
48,152.3313147158878,1451.2972529334386,1,3,1,0,1,9,1,0
35,77.44404143635512,6915.575113073381,0,0,1,0,1,7,1,0
48,22.106132647073235,4305.970024194737,1,1,1,0,0,7,4,0
14,157.1043052053599,2756.329813370139,0,1,0,0,1,7,2,0
54,71.12582825854957,2696.8436010399873,1,3,1,0,1,5,3,0
26,177.17274426844492,5057.953128519944,2,3,2,0,0,2,4,0
43,108.40762312922594,9321.784551782315,2,2,2,0,0,4,1,1
42,132.39358196422015,7449.009769112574,2,0,2,1,0,7,1,0
18,191.1727875338904,6654.9757500318565,2,0,0,0,0,2,3,0
55,176.59293155907434,8767.656686244856,2,3,2,0,0,0,1,0
50,162.67494571668405,5746.325348778166,2,2,0,0,1,0,3,0
21,115.5315395609853,2000.1642793321816,2,1,2,0,1,6,4,0
34,50.47216280333079,9773.951325061405,0,0,1,0,0,5,4,0
40,171.38827756693834,5393.965665867019,0,1,0,0,0,4,4,1
30,36.91047056718545,3221.400332263684,0,2,0,0,1,7,4,0
70,179.7425634362589,7803.889259631945,1,0,0,1,0,7,2,0
25,157.92615225908182,4693.556842381648,1,2,2,0,0,0,2,1
69,164.6219058274973,223.37081100093997,2,2,1,0,1,6,3,1
29,87.89544561237521,3267.468619317276,2,0,2,0,0,1,4,1
67,35.29313725327639,4626.219833522434,1,1,0,1,1,3,3,1
57,150.8517768709715,3788.942258005866,2,1,1,1,0,0,3,0
47,196.05197190496796,5562.27670590333,1,2,0,0,1,1,2,0
17,174.51337526065825,1915.2608409483219,2,3,0,0,1,9,2,1
49,171.44987933819942,5767.11535445451,2,2,2,0,1,8,1,1
50,133.81518281702768,9866.58058110172,2,1,2,1,1,0,4,0
5,40.928183359525576,7562.739048024246,1,2,1,0,0,6,3,0
13,175.3897670762817,6877.037895464974,2,2,2,1,0,3,3,0
63,59.96691617412314,2086.0395652752986,1,0,2,1,0,6,1,0
39,67.60927716869767,5859.56201721255,2,2,2,1,1,6,1,1
68,156.05443375056763,8214.78404123231,0,3,0,1,1,9,2,1
45,149.0430883262715,2482.3205727341956,0,3,0,0,1,2,1,1
17,33.06127725921616,959.1702531844818,1,3,2,0,0,1,1,0
59,65.35261969061017,6651.470565824138,0,3,0,0,0,2,3,1
59,167.1834299360243,6768.522695690067,0,2,2,0,0,4,1,0
8,190.92494800091396,8063.451960891824,2,3,1,0,1,7,4,0
30,67.93599804101815,6332.691068558817,2,3,2,0,0,8,3,0
3,156.91702483597183,8495.884643911755,2,0,1,0,0,3,3,0
17,111.01439397426554,2734.3595866381684,1,1,2,1,1,5,3,0
51,88.41102129787862,449.3015920845269,2,0,1,0,0,3,1,0
24,181.66110941571102,7354.626935157044,2,3,0,0,0,8,1,0
64,118.67662225657905,3920.8015248423108,1,1,2,0,0,4,3,1
71,144.5169101627057,2175.3351318576756,2,0,1,1,1,1,2,1
49,126.64017148581917,611.2174329585008,0,2,1,1,1,0,4,1
20,135.8445348018289,7578.223799954406,2,1,0,0,0,4,2,1
29,113.1108484844831,8280.599573217583,1,0,1,0,0,7,3,1
10,116.01958658291188,3951.326371706986,1,0,2,0,1,5,4,1
9,173.39053917211038,8862.4212731265,0,3,1,1,1,6,2,1
71,74.47849938859449,4214.0103237572785,2,1,1,0,0,8,4,0
63,152.5480592358448,9520.32548429648,0,3,1,1,1,3,4,0
33,68.34356368302903,9833.767543322296,2,1,0,1,1,4,4,0
24,32.731360762712214,8194.50137346407,1,3,0,0,1,8,4,0
32,182.58258952763055,2636.7051100268295,1,1,0,1,1,2,1,0
4,93.9190817380878,3726.6135766751977,0,1,1,1,0,0,3,1
62,142.97343010486088,5373.285074854034,1,0,0,0,1,7,4,1
22,156.41962963530685,3353.9369591055797,1,3,0,0,0,8,1,0
23,163.4618338463293,8207.404988554023,2,1,2,0,1,9,2,0
26,60.73810613834399,9282.726788109358,0,1,1,0,1,9,2,0
49,138.0212087267237,9859.298348059798,0,1,0,1,1,3,1,0
44,156.84392679954146,3429.3483449978407,2,2,2,0,0,5,2,0
22,41.561582991032374,2775.416297680438,2,1,2,0,1,6,2,0
67,45.43480375375503,1694.5720256083139,0,2,1,0,1,6,1,0
42,85.50211391231032,569.8790565884715,1,1,1,0,0,7,1,0
52,74.30058605408983,1852.4463379554347,0,1,2,0,0,5,1,0
17,163.5022016499919,2916.632029515697,2,0,1,0,0,6,1,1
14,135.68578177494743,3971.518213015501,0,0,2,0,1,8,2,0
64,109.63524136332332,1186.137509800059,1,0,0,0,0,5,4,0
45,39.152993671438566,8220.32418959375,0,0,1,0,0,1,1,0
64,40.26210075125368,6228.477836555537,0,3,0,1,0,3,3,1
30,113.06277742111672,5670.081374409875,1,1,1,1,1,4,4,0
13,178.91782120640562,5498.228505351543,1,2,2,0,0,7,2,0
26,159.51317373194203,2970.5922260883926,1,1,0,0,0,3,4,0
32,178.68234992640055,9381.674810817984,1,1,2,0,1,0,2,1
46,121.72645601014409,2394.1694177226027,2,1,2,0,1,0,1,0
51,59.847802097784964,6719.907610674901,0,0,2,0,0,1,2,1
34,25.72532302073238,2605.76264984304,0,1,1,0,0,7,1,0
28,189.24935173841317,9897.234812116978,0,1,1,0,1,2,2,1
19,105.54099394147046,9125.467738506864,0,3,2,0,1,5,1,0
48,174.62312297680407,2719.1099397864145,0,3,2,0,0,6,2,0
34,151.9365947672082,9875.957228050496,2,2,1,0,1,0,3,0
16,169.79006054302405,6296.998084770215,2,3,0,0,0,4,1,0
71,57.91761260087381,7312.6844157295445,0,0,1,0,1,1,1,0
27,142.2996682791806,2900.8679698543087,0,3,1,0,1,6,3,0
51,150.08527446926274,2238.0920749249235,0,2,1,0,1,2,1,1
54,119.47113188806159,8594.883612019301,2,2,0,0,0,8,4,0
17,170.34142460101012,2824.3967309179334,0,3,1,0,1,0,4,1
68,197.8772611878973,9183.540929172777,1,1,1,0,1,1,2,0
1,21.896812355804336,3729.79143196321,2,2,0,0,1,8,4,0
14,101.89913337729324,190.55897265821392,1,3,1,1,0,6,2,0
7,155.70164480220262,5962.413825938377,1,3,2,0,0,2,2,0
64,150.6179856307465,3600.901470290318,1,3,0,0,1,7,4,1
8,104.212410206609,9762.138561088832,2,2,1,0,1,4,3,0
54,171.58793391338912,3928.4964953740046,1,1,2,0,0,1,3,1
24,141.50814122141085,3213.237307037156,0,0,2,0,0,9,2,0
55,118.70453115959566,5707.307167000506,0,3,0,0,0,0,3,1
1,69.11962683952413,7325.888075937179,1,1,0,0,0,5,1,0
69,86.12185478343284,9668.51424892218,2,0,1,0,0,3,3,0
32,198.02992086371603,789.1866524637243,0,3,0,0,0,1,1,1
1,183.1018665887181,4253.135333994346,2,2,1,1,1,0,4,1
66,145.21651759925533,6670.408187210312,0,0,2,1,0,6,2,1
42,174.60321357783366,149.19207871884907,2,1,2,0,1,3,2,0
9,44.47625051430196,4941.425285420209,0,0,1,1,1,0,2,0
24,68.1637340862672,8084.663827541312,1,1,0,1,0,9,3,1
19,179.32809028989715,603.6293297711014,1,1,1,0,1,0,2,1
51,104.7551830761796,3471.414104905439,1,1,1,0,1,6,3,0
2,126.36943430871439,4069.0913668683943,2,3,0,1,0,4,2,0
10,179.05979263995778,7191.219330359047,1,0,1,1,0,0,1,0
69,92.72162312900157,3027.617802158443,2,2,0,0,0,8,3,0
6,106.7258277065465,2538.0508457404067,0,3,0,1,1,2,1,0
62,40.19174498235283,1243.4884322675996,0,2,2,0,1,9,1,0
66,198.45436703694807,9959.207340566878,2,2,2,0,0,0,4,1
8,195.207486139485,4769.495270230178,1,0,0,0,0,1,4,0
68,73.37676364529904,577.2964112441914,2,3,0,0,1,9,1,1
59,173.44579875851323,857.6761645439469,2,0,0,0,0,5,2,1
50,152.67214214291673,1366.745893448056,2,3,0,0,0,2,4,0
36,46.38578160328528,2196.2699018495205,0,3,1,0,1,9,4,0
8,24.300711501944193,7430.209995372295,0,0,0,0,1,7,1,1
17,22.533346299854678,5631.013272370083,0,3,2,0,0,0,1,0
59,31.829965407339767,7788.928241406024,1,0,0,0,1,0,1,0
8,132.93053086268645,296.20042114976115,0,1,2,0,0,7,3,0
43,108.59062666589143,2724.6481795248837,0,1,0,0,1,0,3,0
63,199.4160004891159,4114.703699073956,2,2,1,0,1,3,3,0
12,71.57677346403622,4347.2359535422165,1,0,1,0,1,5,3,0
56,150.62595612944608,630.2451607586559,2,2,0,0,0,0,3,1
49,89.6783381173403,5164.051190075846,2,3,2,0,0,3,3,1
52,37.697627930324,2937.5730600926304,2,1,1,0,1,4,4,1
11,177.88619926020803,1995.583562801624,2,0,2,1,1,0,3,1
27,92.00035368119913,6744.499240557273,0,2,2,0,1,1,2,0
62,185.0456163254494,930.1103538803561,1,3,1,1,0,1,3,0
9,188.64693215803595,8683.375322927182,0,3,0,0,1,5,1,0
36,167.62602128369463,9008.270904877512,2,0,2,0,1,1,2,0
46,24.98217097034844,3322.8110714488203,0,3,2,0,1,5,3,0
29,193.88474418485137,9870.306398979421,1,2,0,1,1,8,3,0
68,42.349590844011146,4072.5398113584783,0,0,0,0,1,1,1,1
41,187.63568145659195,9626.921545270205,0,2,1,0,0,6,1,0
28,129.1778809877145,9870.096545992128,1,0,1,0,0,0,1,1
64,87.94280948104945,8286.41115934835,2,2,0,1,1,8,2,1
24,149.8366434243417,1335.8242390055514,2,3,0,0,0,3,2,0
16,111.23497519601949,5885.750853693067,2,1,2,0,1,4,2,0
22,163.00654895312843,7346.009240035854,1,3,0,0,0,3,4,0
47,112.47937330774513,866.8987197043512,0,3,2,0,0,9,4,0
17,86.40364357445611,8947.054576667324,2,2,1,0,1,8,4,0
1,84.95153451004917,8532.865759225087,1,2,1,1,0,0,2,1
31,83.7395952028188,9345.178543098104,1,1,2,0,0,9,4,1
12,105.12163648994915,5191.531299084195,1,1,1,0,0,5,4,0
20,39.822350722038514,3310.61580849135,2,2,2,1,1,4,1,0
19,139.10711612784624,5112.813859227428,1,3,2,0,0,7,1,0
5,81.44723277642113,7320.61681789593,2,0,2,1,0,1,4,0
15,121.07767344746296,4220.431294542151,0,1,0,0,1,3,4,1
25,114.77317909349894,3582.451444603159,1,3,1,0,0,4,4,0
35,174.2830516038528,862.8516383934198,1,0,1,0,1,7,4,0
55,175.10439259936422,4527.64127727566,2,3,2,1,0,0,1,0
63,198.05269666905815,3989.6088172412747,2,1,0,1,0,6,1,0
47,63.48371214425786,6666.592188163665,2,2,1,0,1,7,4,1
67,26.2023530850034,4443.57536709735,0,2,0,1,0,0,1,1
64,96.48302154607187,139.98364435677217,2,1,1,0,0,4,3,1
22,181.39449746309316,4895.102743557894,1,2,2,0,1,5,1,1
69,128.04527904507708,7759.776242350354,0,0,1,1,1,9,1,0
2,87.23444395737042,9458.516157799297,2,3,0,0,1,4,4,0
25,158.9821981717656,2010.2623612422785,2,2,2,0,0,8,3,1
61,148.22214633593921,4283.105411513243,1,2,0,1,1,3,2,0
5,148.44162188338524,8489.86175248776,1,2,1,0,0,1,1,0
28,112.6249728566373,524.1780905039864,2,1,1,0,1,8,3,0
66,115.48654915915783,3563.963733654013,0,1,2,1,1,1,3,0
15,120.04810839272056,5951.700255105896,2,2,2,0,1,1,4,1
55,119.47258142864479,3490.9089423422306,0,1,0,0,0,5,3,0
38,57.1368502213805,4944.924263890904,1,3,2,1,0,8,4,1
23,64.24143621052659,9397.166243653855,1,0,0,0,1,4,3,1
14,87.3244902444665,336.8723544803369,0,3,2,0,1,9,2,0
32,173.98426342655495,871.3550679193479,0,3,1,0,0,1,2,0
44,103.23067010636673,2049.9337386903926,1,0,0,1,1,5,4,1
70,186.7374436252629,3910.501047325674,0,0,1,1,0,0,2,0
58,162.80923069773172,4760.819759073638,1,3,1,0,0,9,1,0
4,175.07061444437355,463.0476778574452,2,0,0,0,1,9,4,0
62,44.146664213791,8837.400118007119,0,3,2,1,1,2,3,0
60,46.781578096160146,7610.039640873125,0,2,0,1,0,2,1,0
59,62.59273246041701,2753.3020391128553,1,1,1,0,0,9,4,1
29,139.2717843971952,2642.005518867622,0,0,1,0,0,5,4,1
19,105.73166138297158,353.29596483529787,0,2,1,0,0,3,4,0
